punk_id,accessories,type,clean_accessories,neighbors,neighbors_clean
2314,"['Shadow Beard', 'Smile', 'Do-rag']",male,male 'shadow beard' 'smile' 'do rag',"[[2636, 0.8975], [4694, 0.8975], [6447, 0.8975], [2153, 0.8504], [2902, 0.8504], [444, 0.8114], [774, 0.8114], [3926, 0.8114], [3033, 0.7794], [6514, 0.764]]","[[2636, 0.8975], [4694, 0.8975], [6447, 0.8975], [2153, 0.8504], [2902, 0.8504], [444, 0.8114], [774, 0.8114], [3926, 0.8114], [3033, 0.7794], [6514, 0.764]]"
2315,"['Stringy Hair', 'Shadow Beard', 'Nerd Glasses']",male,male 'stringy hair' 'shadow beard' 'nerd glasses',"[[4448, 1.0], [909, 0.8651], [1307, 0.8651], [6722, 0.8651], [9004, 0.8651], [2774, 0.8163], [5437, 0.8163], [3778, 0.8141], [6584, 0.8099], [7165, 0.8099]]","[[4448, 1.0], [909, 0.8651], [1307, 0.8651], [6722, 0.8651], [9004, 0.8651], [2774, 0.8163], [5437, 0.8163], [3778, 0.8141], [6584, 0.8099], [7165, 0.8099]]"
2316,"['Cap', 'Eye Mask']",female,female 'cap' 'eye mask',"[[963, 1.0], [9369, 0.9319], [6748, 0.9186], [6751, 0.9186], [7053, 0.9186], [153, 0.8536], [6837, 0.8536], [2334, 0.8286], [2145, 0.7586], [2399, 0.7561]]","[[963, 1.0], [9369, 0.9319], [6748, 0.9186], [6751, 0.9186], [7053, 0.9186], [153, 0.8536], [6837, 0.8536], [2334, 0.8286], [2145, 0.7586], [2399, 0.7561]]"
2317,"['Mohawk Thin', 'Normal Beard']",male,male 'mohawk thin' 'normal beard',"[[5123, 1.0], [6185, 1.0], [715, 0.946], [2842, 0.946], [5701, 0.946], [3224, 0.9028], [4861, 0.8998], [6967, 0.8998], [1792, 0.8599], [6364, 0.8599]]","[[5123, 1.0], [6185, 1.0], [715, 0.946], [2842, 0.946], [5701, 0.946], [3224, 0.9028], [4861, 0.8998], [6967, 0.8998], [1792, 0.8599], [6364, 0.8599]]"
2318,"['Blue Eye Shadow', 'Half Shaved', 'Purple Lipstick']",female,female 'blue eye shadow' 'half shaved' 'purple lipstick',"[[8164, 1.0], [1700, 0.9047], [1761, 0.9047], [6496, 0.9047], [4073, 0.8869], [2390, 0.8858], [8880, 0.8858], [7509, 0.8856], [491, 0.8773], [4887, 0.8773]]","[[8164, 1.0], [1700, 0.9047], [1761, 0.9047], [6496, 0.9047], [4073, 0.8869], [2390, 0.8858], [8880, 0.8858], [7509, 0.8856], [491, 0.8773], [4887, 0.8773]]"
2319,"['Bandana', 'Frown', 'Shadow Beard', 'Nerd Glasses', 'Rosy Cheeks']",male,male 'bandana' 'frown' 'shadow beard' 'nerd glasses' 'rosy cheeks',"[[6602, 0.8161], [8571, 0.7933], [8946, 0.7443], [5327, 0.6975], [348, 0.6734], [9565, 0.6642], [7298, 0.6536], [5401, 0.6453], [3362, 0.6447], [1796, 0.6422]]","[[6602, 0.8161], [8571, 0.7933], [8946, 0.7443], [5327, 0.6975], [348, 0.6734], [9565, 0.6642], [7298, 0.6536], [5401, 0.6453], [3362, 0.6447], [1796, 0.6422]]"
2320,"['Cigarette', 'Bandana', 'Eye Mask']",male,male 'cigarette' 'bandana' 'eye mask',"[[7565, 1.0], [1356, 0.8914], [4292, 0.8914], [7581, 0.8914], [1231, 0.8434], [1314, 0.8372], [2627, 0.8298], [6021, 0.8298], [8742, 0.7718], [2577, 0.7631]]","[[7565, 1.0], [1356, 0.8914], [4292, 0.8914], [7581, 0.8914], [1231, 0.8434], [1314, 0.8372], [2627, 0.8298], [6021, 0.8298], [8742, 0.7718], [2577, 0.7631]]"
2321,"['Clown Eyes Green', 'Half Shaved']",female,female 'clown eyes green' 'half shaved',"[[2618, 0.9089], [3940, 0.9048], [3954, 0.9048], [9927, 0.9048], [7980, 0.8967], [1076, 0.8429], [5376, 0.8429], [7941, 0.8429], [9078, 0.8156], [9037, 0.8102]]","[[2618, 0.9089], [3940, 0.9048], [3954, 0.9048], [9927, 0.9048], [7980, 0.8967], [1076, 0.8429], [5376, 0.8429], [7941, 0.8429], [9078, 0.8156], [9037, 0.8102]]"
2322,"['Mole', 'Hot Lipstick', 'Straight Hair Dark']",female,female 'mole' 'hot lipstick' 'straight hair dark',"[[7070, 0.9183], [131, 0.8951], [1468, 0.8951], [3774, 0.8951], [6728, 0.8951], [4554, 0.8705], [1357, 0.8687], [2919, 0.8435], [7521, 0.8435], [8397, 0.8435]]","[[7070, 0.9183], [131, 0.8951], [1468, 0.8951], [3774, 0.8951], [6728, 0.8951], [4554, 0.8705], [1357, 0.8687], [2919, 0.8435], [7521, 0.8435], [8397, 0.8435]]"
2323,"['Earring', 'Headband', 'Small Shades']",male,male 'earring' 'headband' 'small shades',"[[846, 1.0], [9855, 1.0], [81, 0.9416], [2671, 0.9416], [4844, 0.9416], [9589, 0.8462], [8481, 0.8431], [9190, 0.8082], [2885, 0.7945], [2859, 0.7823]]","[[846, 1.0], [9855, 1.0], [81, 0.9416], [2671, 0.9416], [4844, 0.9416], [9589, 0.8462], [8481, 0.8431], [9190, 0.8082], [2885, 0.7945], [2859, 0.7823]]"
2324,"['Black Lipstick', 'Blonde Bob']",female,female 'black lipstick' 'blonde bob',"[[560, 1.0], [1828, 0.958], [3793, 0.9232], [4595, 0.8747], [1251, 0.855], [96, 0.8448], [521, 0.8448], [530, 0.8448], [1355, 0.8448], [7086, 0.8281]]","[[560, 1.0], [1828, 0.958], [3793, 0.9232], [4595, 0.8747], [1251, 0.855], [96, 0.8448], [521, 0.8448], [530, 0.8448], [1355, 0.8448], [7086, 0.8281]]"
2325,"['Hoodie', 'Earring', 'VR']",male,male 'hoodie' 'earring' 'vr',"[[939, 1.0], [2823, 0.9393], [3466, 0.9393], [9476, 0.8374], [4683, 0.8339], [4565, 0.8043], [87, 0.7777], [4551, 0.7741], [7417, 0.7741], [7403, 0.7697]]","[[939, 1.0], [2823, 0.9393], [3466, 0.9393], [9476, 0.8374], [4683, 0.8339], [4565, 0.8043], [87, 0.7777], [4551, 0.7741], [7417, 0.7741], [7403, 0.7697]]"
2326,"['Horned Rim Glasses', 'Clown Hair Green']",male,male 'horned rim glasses' 'clown hair green',"[[3208, 1.0], [3921, 1.0], [6443, 1.0], [8744, 0.9564], [3316, 0.9023], [8661, 0.9023], [6339, 0.7796], [7542, 0.7796], [2443, 0.7379], [3679, 0.7379]]","[[3208, 1.0], [3921, 1.0], [6443, 1.0], [8744, 0.9564], [3316, 0.9023], [8661, 0.9023], [6339, 0.7796], [7542, 0.7796], [2443, 0.7379], [3679, 0.7379]]"
2327,"['Eye Mask', 'Fedora', 'Mustache', 'Earring']",male,male 'eye mask' 'fedora' 'mustache' 'earring',"[[8200, 0.8957], [3881, 0.8136], [7960, 0.8136], [9420, 0.8136], [1555, 0.7813], [8223, 0.7813], [9935, 0.7426], [1320, 0.7303], [5544, 0.7184], [2567, 0.7033]]","[[8200, 0.8957], [3881, 0.8136], [7960, 0.8136], [9420, 0.8136], [1555, 0.7813], [8223, 0.7813], [9935, 0.7426], [1320, 0.7303], [5544, 0.7184], [2567, 0.7033]]"
2328,"['Mohawk Thin', 'Eye Patch']",female,female 'mohawk thin' 'eye patch',"[[289, 1.0], [8656, 1.0], [1012, 0.943], [1334, 0.943], [9075, 0.943], [3213, 0.8952], [8740, 0.8952], [8648, 0.838], [3848, 0.8286], [5340, 0.8286]]","[[289, 1.0], [8656, 1.0], [1012, 0.943], [1334, 0.943], [9075, 0.943], [3213, 0.8952], [8740, 0.8952], [8648, 0.838], [3848, 0.8286], [5340, 0.8286]]"
2329,"['Peak Spike', 'Earring']",zombie,zombie 'peak spike' 'earring',"[[9474, 0.9627], [3493, 0.8733], [9838, 0.8393], [7337, 0.7993], [2708, 0.5859], [5944, 0.5736], [9909, 0.5665], [4559, 0.5627], [9368, 0.5591], [4850, 0.5338]]","[[9474, 0.9627], [3493, 0.8733], [9838, 0.8393], [7337, 0.7993], [2708, 0.5859], [5944, 0.5736], [9909, 0.5665], [4559, 0.5627], [9368, 0.5591], [4850, 0.5338]]"
2330,"['Mole', 'Black Lipstick', 'Mohawk']",female,female 'mole' 'black lipstick' 'mohawk',"[[3912, 1.0], [7486, 0.9412], [1900, 0.8958], [5222, 0.8958], [658, 0.8293], [1410, 0.8293], [1915, 0.8293], [3219, 0.8293], [5731, 0.789], [5847, 0.789]]","[[3912, 1.0], [7486, 0.9412], [1900, 0.8958], [5222, 0.8958], [658, 0.8293], [1410, 0.8293], [1915, 0.8293], [3219, 0.8293], [5731, 0.789], [5847, 0.789]]"
2331,"['Cigarette', 'Messy Hair', 'Horned Rim Glasses']",male,male 'cigarette' 'messy hair' 'horned rim glasses',"[[2871, 1.0], [1832, 0.9215], [1969, 0.9215], [5315, 0.9215], [5077, 0.8819], [6697, 0.8777], [2598, 0.8774], [7801, 0.8774], [8923, 0.8774], [1973, 0.847]]","[[2871, 1.0], [1832, 0.9215], [1969, 0.9215], [5315, 0.9215], [5077, 0.8819], [6697, 0.8777], [2598, 0.8774], [7801, 0.8774], [8923, 0.8774], [1973, 0.847]]"
2332,"['Front Beard', 'Fedora']",male,male 'front beard' 'fedora',"[[1207, 1.0], [2834, 1.0], [9189, 0.946], [578, 0.9036], [4399, 0.9036], [7351, 0.9036], [5065, 0.8632], [7318, 0.8632], [6435, 0.826], [1294, 0.8139]]","[[1207, 1.0], [2834, 1.0], [9189, 0.946], [578, 0.9036], [4399, 0.9036], [7351, 0.9036], [5065, 0.8632], [7318, 0.8632], [6435, 0.826], [1294, 0.8139]]"
