punk_id,accessories,type,clean_accessories,neighbors,neighbors_clean
0,"['Green Eye Shadow', 'Earring', 'Blonde Bob']",female,female 'green eye shadow' 'earring' 'blonde bob',"[[184, 0.964], [3582, 0.964], [9431, 0.964], [2496, 0.9379], [7196, 0.9], [8487, 0.9], [8539, 0.8948], [7520, 0.8687], [103, 0.8645], [2751, 0.8566]]","[[184, 0.964], [3582, 0.964], [9431, 0.964], [2496, 0.9379], [7196, 0.9], [8487, 0.9], [8539, 0.8948], [7520, 0.8687], [103, 0.8645], [2751, 0.8566]]"
1,"['Smile', 'Mohawk']",male,male 'smile' 'mohawk',"[[7591, 0.923], [24, 0.8664], [3288, 0.8664], [4143, 0.8617], [5466, 0.8617], [6081, 0.8617], [9374, 0.8149], [3411, 0.8136], [7051, 0.8136], [8373, 0.8136]]","[[7591, 0.923], [24, 0.8664], [3288, 0.8664], [4143, 0.8617], [5466, 0.8617], [6081, 0.8617], [9374, 0.8149], [3411, 0.8136], [7051, 0.8136], [8373, 0.8136]]"
2,['Wild Hair'],female,female 'wild hair',"[[200, 1.0], [566, 1.0], [3412, 1.0], [97, 0.8516], [145, 0.8516], [699, 0.8516], [978, 0.8516], [42, 0.8095], [1313, 0.8095], [1944, 0.8095]]","[[200, 1.0], [566, 1.0], [3412, 1.0], [97, 0.8516], [145, 0.8516], [699, 0.8516], [978, 0.8516], [42, 0.8095], [1313, 0.8095], [1944, 0.8095]]"
3,"['Wild Hair', 'Nerd Glasses', 'Pipe']",male,male 'wild hair' 'nerd glasses' 'pipe',"[[723, 0.8287], [3937, 0.8287], [5091, 0.8287], [7494, 0.8287], [7381, 0.7903], [8329, 0.7903], [5192, 0.7785], [8587, 0.7785], [8270, 0.774], [481, 0.7717]]","[[723, 0.8287], [3937, 0.8287], [5091, 0.8287], [7494, 0.8287], [7381, 0.7903], [8329, 0.7903], [5192, 0.7785], [8587, 0.7785], [8270, 0.774], [481, 0.7717]]"
4,"['Big Shades', 'Wild Hair', 'Earring', 'Goat']",male,male 'big shades' 'wild hair' 'earring' 'goat',"[[7599, 0.8322], [8459, 0.8322], [3751, 0.8307], [1132, 0.7783], [1743, 0.7783], [1810, 0.7783], [4909, 0.7783], [6195, 0.7776], [286, 0.7767], [1437, 0.7767]]","[[7599, 0.8322], [8459, 0.8322], [3751, 0.8307], [1132, 0.7783], [1743, 0.7783], [1810, 0.7783], [4909, 0.7783], [6195, 0.7776], [286, 0.7767], [1437, 0.7767]]"
5,"['Purple Eye Shadow', 'Half Shaved', 'Earring']",female,female 'purple eye shadow' 'half shaved' 'earring',"[[8279, 1.0], [2390, 0.964], [8880, 0.964], [7710, 0.9305], [1544, 0.8989], [4073, 0.894], [3949, 0.8645], [71, 0.8603], [6631, 0.8561], [7593, 0.8561]]","[[8279, 1.0], [2390, 0.964], [8880, 0.964], [7710, 0.9305], [1544, 0.8989], [4073, 0.894], [3949, 0.8645], [71, 0.8603], [6631, 0.8561], [7593, 0.8561]]"
6,['Do-rag'],male,male 'do rag',"[[451, 1.0], [651, 1.0], [6930, 1.0], [386, 0.9387], [587, 0.9387], [678, 0.9387], [76, 0.8906], [4466, 0.8906], [4475, 0.8906], [1464, 0.8681]]","[[451, 1.0], [651, 1.0], [6930, 1.0], [386, 0.9387], [587, 0.9387], [678, 0.9387], [76, 0.8906], [4466, 0.8906], [4475, 0.8906], [1464, 0.8681]]"
7,"['Wild White Hair', 'Spots', 'Clown Eyes Blue']",female,female 'wild white hair' 'spots' 'clown eyes blue',"[[2273, 0.8651], [4585, 0.8651], [4895, 0.8651], [2360, 0.8375], [123, 0.8241], [8511, 0.8241], [9486, 0.7885], [6352, 0.7782], [6814, 0.7585], [4884, 0.7579]]","[[2273, 0.8651], [4585, 0.8651], [4895, 0.8651], [2360, 0.8375], [123, 0.8241], [8511, 0.8241], [9486, 0.7885], [6352, 0.7782], [6814, 0.7585], [4884, 0.7579]]"
8,"['Messy Hair', 'Luxurious Beard']",male,male 'messy hair' 'luxurious beard',"[[1376, 0.9473], [9738, 0.9473], [9184, 0.905], [149, 0.8428], [6934, 0.8296], [7845, 0.8296], [8295, 0.8296], [1459, 0.8249], [7865, 0.8197], [979, 0.8167]]","[[1376, 0.9473], [9738, 0.9473], [9184, 0.905], [149, 0.8428], [6934, 0.8296], [7845, 0.8296], [8295, 0.8296], [1459, 0.8249], [7865, 0.8197], [979, 0.8167]]"
9,"['Clown Nose', 'Police Cap', 'Big Beard']",male,male 'clown nose' 'police cap' 'big beard',"[[8525, 0.88], [7396, 0.7917], [2766, 0.7783], [9615, 0.7521], [3395, 0.6982], [821, 0.6945], [3387, 0.6945], [5178, 0.6945], [6892, 0.6839], [1492, 0.6809]]","[[8525, 0.88], [7396, 0.7917], [2766, 0.7783], [9615, 0.7521], [3395, 0.6982], [821, 0.6945], [3387, 0.6945], [5178, 0.6945], [6892, 0.6839], [1492, 0.6809]]"
10,"['Blue Eye Shadow', 'Mohawk']",female,female 'blue eye shadow' 'mohawk',"[[2092, 1.0], [5988, 1.0], [7803, 0.9398], [5426, 0.8966], [3450, 0.8934], [8961, 0.8934], [7172, 0.8496], [2210, 0.8485], [5904, 0.8485], [9846, 0.8485]]","[[2092, 1.0], [5988, 1.0], [7803, 0.9398], [5426, 0.8966], [3450, 0.8934], [8961, 0.8934], [7172, 0.8496], [2210, 0.8485], [5904, 0.8485], [9846, 0.8485]]"
11,"['Black Lipstick', 'Clown Eyes Green', 'Straight Hair Dark']",female,female 'black lipstick' 'clown eyes green' 'straight hair dark',"[[3724, 1.0], [9324, 0.9694], [1691, 0.9367], [2697, 0.9367], [238, 0.8917], [4198, 0.8917], [6045, 0.8917], [6150, 0.876], [6249, 0.876], [9338, 0.876]]","[[3724, 1.0], [9324, 0.9694], [1691, 0.9367], [2697, 0.9367], [238, 0.8917], [4198, 0.8917], [6045, 0.8917], [6150, 0.876], [6249, 0.876], [9338, 0.876]]"
12,"['Blonde Short', 'Purple Lipstick']",female,female 'blonde short' 'purple lipstick',"[[2713, 1.0], [4267, 1.0], [2436, 0.9583], [6357, 0.9583], [6465, 0.9583], [8850, 0.9583], [5419, 0.8777], [8873, 0.8777], [9473, 0.8754], [6215, 0.8618]]","[[2713, 1.0], [4267, 1.0], [2436, 0.9583], [6357, 0.9583], [6465, 0.9583], [8850, 0.9583], [5419, 0.8777], [8873, 0.8777], [9473, 0.8754], [6215, 0.8618]]"
13,"['Big Shades', 'Black Lipstick', 'Straight Hair Blonde']",female,female 'big shades' 'black lipstick' 'straight hair blonde',"[[3427, 1.0], [6598, 0.9002], [240, 0.8756], [4276, 0.8756], [7652, 0.8756], [3321, 0.86], [3653, 0.86], [4502, 0.86], [2523, 0.8588], [9598, 0.8315]]","[[3427, 1.0], [6598, 0.9002], [240, 0.8756], [4276, 0.8756], [7652, 0.8756], [3321, 0.86], [3653, 0.86], [4502, 0.86], [2523, 0.8588], [9598, 0.8315]]"
14,"['Pipe', 'Pilot Helmet', 'Hot Lipstick']",female,female 'pipe' 'pilot helmet' 'hot lipstick',"[[180, 0.9145], [1759, 0.9145], [3308, 0.9145], [2478, 0.9121], [8251, 0.9121], [4788, 0.8895], [7338, 0.8895], [3503, 0.887], [445, 0.8781], [9989, 0.8678]]","[[180, 0.9145], [1759, 0.9145], [3308, 0.9145], [2478, 0.9121], [8251, 0.9121], [4788, 0.8895], [7338, 0.8895], [3503, 0.887], [445, 0.8781], [9989, 0.8678]]"
15,"['Luxurious Beard', 'Wild Hair', 'Regular Shades']",male,male 'luxurious beard' 'wild hair' 'regular shades',"[[3337, 0.8224], [6026, 0.8224], [6428, 0.8224], [4827, 0.7919], [4031, 0.7899], [770, 0.787], [871, 0.7789], [1006, 0.7789], [3065, 0.7789], [5706, 0.7789]]","[[3337, 0.8224], [6026, 0.8224], [6428, 0.8224], [4827, 0.7919], [4031, 0.7899], [770, 0.787], [871, 0.7789], [1006, 0.7789], [3065, 0.7789], [5706, 0.7789]]"
16,"['Stringy Hair', 'Earring', 'Small Shades']",male,male 'stringy hair' 'earring' 'small shades',"[[1403, 0.9452], [5058, 0.9452], [6980, 0.9452], [7254, 0.9452], [7538, 0.8801], [8871, 0.8428], [6709, 0.8209], [7583, 0.7912], [1480, 0.7901], [9190, 0.7839]]","[[1403, 0.9452], [5058, 0.9452], [6980, 0.9452], [7254, 0.9452], [7538, 0.8801], [8871, 0.8428], [6709, 0.8209], [7583, 0.7912], [1480, 0.7901], [9190, 0.7839]]"
17,"['Frown', 'Mohawk']",male,male 'frown' 'mohawk',"[[6475, 1.0], [4050, 0.9212], [7588, 0.8577], [4488, 0.8202], [8609, 0.8113], [1133, 0.81], [4322, 0.81], [4781, 0.81], [9283, 0.7909], [239, 0.783]]","[[6475, 1.0], [4050, 0.9212], [7588, 0.8577], [4488, 0.8202], [8609, 0.8113], [1133, 0.81], [4322, 0.81], [4781, 0.81], [9283, 0.7909], [239, 0.783]]"
18,"['Eye Mask', 'Muttonchops']",male,male 'eye mask' 'muttonchops',"[[9905, 1.0], [3565, 0.8529], [8062, 0.8405], [7375, 0.8302], [5351, 0.828], [8453, 0.7974], [7721, 0.7681], [2235, 0.7339], [5262, 0.6903], [8549, 0.6903]]","[[9905, 1.0], [3565, 0.8529], [8062, 0.8405], [7375, 0.8302], [5351, 0.828], [8453, 0.7974], [7721, 0.7681], [2235, 0.7339], [5262, 0.6903], [8549, 0.6903]]"
19,"['Bandana', 'Horned Rim Glasses', 'Hot Lipstick']",female,female 'bandana' 'horned rim glasses' 'hot lipstick',"[[3874, 0.8639], [5540, 0.8639], [8436, 0.8639], [1895, 0.8422], [3786, 0.8383], [4184, 0.8383], [3486, 0.8323], [8813, 0.8323], [9182, 0.8249], [328, 0.8193]]","[[3874, 0.8639], [5540, 0.8639], [8436, 0.8639], [1895, 0.8422], [3786, 0.8383], [4184, 0.8383], [3486, 0.8323], [8813, 0.8323], [9182, 0.8249], [328, 0.8193]]"
20,['Crazy Hair'],male,male 'crazy hair',"[[327, 1.0], [487, 1.0], [544, 1.0], [420, 0.898], [1301, 0.898], [3572, 0.898], [4170, 0.898], [85, 0.8778], [213, 0.8778], [276, 0.8778]]","[[327, 1.0], [487, 1.0], [544, 1.0], [420, 0.898], [1301, 0.898], [3572, 0.898], [4170, 0.898], [85, 0.8778], [213, 0.8778], [276, 0.8778]]"
21,"['Messy Hair', 'Classic Shades', 'Earring']",male,male 'messy hair' 'classic shades' 'earring',"[[1945, 1.0], [1061, 0.9427], [5820, 0.9427], [7000, 0.9427], [3884, 0.8815], [6495, 0.8815], [7489, 0.8483], [9142, 0.8469], [9250, 0.8408], [8619, 0.8138]]","[[1945, 1.0], [1061, 0.9427], [5820, 0.9427], [7000, 0.9427], [3884, 0.8815], [6495, 0.8815], [7489, 0.8483], [9142, 0.8469], [9250, 0.8408], [8619, 0.8138]]"
22,"['Pilot Helmet', 'Purple Lipstick']",female,female 'pilot helmet' 'purple lipstick',"[[1609, 1.0], [2169, 1.0], [2717, 1.0], [4612, 0.9719], [9417, 0.9719], [2889, 0.9476], [6856, 0.9476], [8465, 0.9476], [9844, 0.9356], [843, 0.9236]]","[[1609, 1.0], [2169, 1.0], [2717, 1.0], [4612, 0.9719], [9417, 0.9719], [2889, 0.9476], [6856, 0.9476], [8465, 0.9476], [9844, 0.9356], [843, 0.9236]]"
23,"['Handlebars', 'Earring', 'Do-rag']",male,male 'handlebars' 'earring' 'do rag',"[[1404, 0.9579], [2996, 0.9579], [5399, 0.9579], [3880, 0.8681], [8161, 0.8397], [386, 0.8328], [587, 0.8328], [678, 0.8328], [8501, 0.8187], [2653, 0.7991]]","[[1404, 0.9579], [2996, 0.9579], [5399, 0.9579], [3880, 0.8681], [8161, 0.8397], [386, 0.8328], [587, 0.8328], [678, 0.8328], [8501, 0.8187], [2653, 0.7991]]"
24,"['Smile', 'Mohawk Dark']",male,male 'smile' 'mohawk dark',"[[3288, 1.0], [9374, 0.9406], [1, 0.8664], [7947, 0.8258], [5529, 0.8203], [7591, 0.7997], [7667, 0.7913], [2494, 0.7745], [3406, 0.7492], [4143, 0.7466]]","[[3288, 1.0], [9374, 0.9406], [1, 0.8664], [7947, 0.8258], [5529, 0.8203], [7591, 0.7997], [7667, 0.7913], [2494, 0.7745], [3406, 0.7492], [4143, 0.7466]]"
25,['Wild White Hair'],female,female 'wild white hair',"[[227, 1.0], [813, 1.0], [264, 0.9461], [2381, 0.9028], [9423, 0.9028], [4103, 0.8824], [4846, 0.8824], [8417, 0.8824], [2624, 0.8625], [1156, 0.8586]]","[[227, 1.0], [813, 1.0], [264, 0.9461], [2381, 0.9028], [9423, 0.9028], [4103, 0.8824], [4846, 0.8824], [8417, 0.8824], [2624, 0.8625], [1156, 0.8586]]"
26,['Dark Hair'],female,female 'dark hair',"[[61, 1.0], [245, 1.0], [5951, 1.0], [1273, 0.7949], [9013, 0.7949], [3338, 0.7602], [4195, 0.7602], [417, 0.7286], [3151, 0.7286], [5333, 0.7285]]","[[61, 1.0], [245, 1.0], [5951, 1.0], [1273, 0.7949], [9013, 0.7949], [3338, 0.7602], [4195, 0.7602], [417, 0.7286], [3151, 0.7286], [5333, 0.7285]]"
27,"['Peak Spike', 'Earring']",male,male 'peak spike' 'earring',"[[551, 1.0], [5861, 1.0], [5920, 1.0], [33, 0.9385], [182, 0.9385], [321, 0.9385], [468, 0.9385], [1458, 0.9014], [1553, 0.9014], [4764, 0.9014]]","[[551, 1.0], [5861, 1.0], [5920, 1.0], [33, 0.9385], [182, 0.9385], [321, 0.9385], [468, 0.9385], [1458, 0.9014], [1553, 0.9014], [4764, 0.9014]]"
28,"['Big Shades', 'Crazy Hair']",male,male 'big shades' 'crazy hair',"[[3715, 1.0], [7632, 1.0], [624, 0.941], [4571, 0.9331], [4586, 0.9331], [7534, 0.9331], [1498, 0.8798], [8210, 0.8473], [9150, 0.8473], [1284, 0.8269]]","[[3715, 1.0], [7632, 1.0], [624, 0.941], [4571, 0.9331], [4586, 0.9331], [7534, 0.9331], [1498, 0.8798], [8210, 0.8473], [9150, 0.8473], [1284, 0.8269]]"
29,"['Horned Rim Glasses', 'Half Shaved', 'Earring']",female,female 'horned rim glasses' 'half shaved' 'earring',"[[1352, 0.9686], [904, 0.7978], [115, 0.7582], [2176, 0.7582], [6823, 0.7266], [43, 0.7163], [298, 0.7163], [5737, 0.7001], [7317, 0.7001], [7566, 0.7001]]","[[1352, 0.9686], [904, 0.7978], [115, 0.7582], [2176, 0.7582], [6823, 0.7266], [43, 0.7163], [298, 0.7163], [5737, 0.7001], [7317, 0.7001], [7566, 0.7001]]"
30,"['Normal Beard Black', 'Cap']",male,male 'normal beard black' 'cap',"[[4509, 1.0], [5216, 1.0], [458, 0.9412], [1558, 0.8865], [8593, 0.8865], [725, 0.8614], [2456, 0.8614], [1201, 0.8488], [4427, 0.8488], [5142, 0.8488]]","[[4509, 1.0], [5216, 1.0], [458, 0.9412], [1558, 0.8865], [8593, 0.8865], [725, 0.8614], [2456, 0.8614], [1201, 0.8488], [4427, 0.8488], [5142, 0.8488]]"
31,['Stringy Hair'],female,female 'stringy hair',"[[350, 1.0], [1315, 1.0], [4579, 1.0], [1011, 0.9003], [1713, 0.9003], [2821, 0.9003], [4306, 0.9003], [271, 0.8731], [320, 0.8731], [356, 0.8731]]","[[350, 1.0], [1315, 1.0], [4579, 1.0], [1011, 0.9003], [1713, 0.9003], [2821, 0.9003], [4306, 0.9003], [271, 0.8731], [320, 0.8731], [356, 0.8731]]"
32,"['Frown', 'VR']",male,male 'frown' 'vr',"[[9283, 0.9136], [7588, 0.7425], [4574, 0.7315], [5276, 0.7094], [9036, 0.7089], [6332, 0.7079], [1605, 0.6512], [9385, 0.6401], [17, 0.6369], [6475, 0.6369]]","[[9283, 0.9136], [7588, 0.7425], [4574, 0.7315], [5276, 0.7094], [9036, 0.7089], [6332, 0.7079], [1605, 0.6512], [9385, 0.6401], [17, 0.6369], [6475, 0.6369]]"
33,['Peak Spike'],male,male 'peak spike',"[[182, 1.0], [321, 1.0], [468, 1.0], [27, 0.9385], [551, 0.9385], [5861, 0.9385], [5920, 0.9385], [478, 0.8902], [1394, 0.8902], [7124, 0.8902]]","[[182, 1.0], [321, 1.0], [468, 1.0], [27, 0.9385], [551, 0.9385], [5861, 0.9385], [5920, 0.9385], [478, 0.8902], [1394, 0.8902], [7124, 0.8902]]"
34,"['Frumpy Hair', 'Purple Lipstick']",female,female 'frumpy hair' 'purple lipstick',"[[368, 1.0], [2149, 1.0], [5591, 0.8902], [5293, 0.8676], [3397, 0.8512], [4911, 0.8512], [2973, 0.8291], [9786, 0.8211], [38, 0.8066], [1291, 0.8015]]","[[368, 1.0], [2149, 1.0], [5591, 0.8902], [5293, 0.8676], [3397, 0.8512], [4911, 0.8512], [2973, 0.8291], [9786, 0.8211], [38, 0.8066], [1291, 0.8015]]"
35,"['Cigarette', 'Peak Spike', 'Earring', 'Horned Rim Glasses', 'Normal Beard']",male,male 'cigarette' 'peak spike' 'earring' 'horned rim glasses' 'normal beard',"[[7806, 0.9758], [5840, 0.9271], [8163, 0.906], [2026, 0.8802], [5104, 0.8802], [6103, 0.8544], [6398, 0.8544], [4090, 0.826], [5776, 0.826], [9403, 0.826]]","[[7806, 0.9758], [5840, 0.9271], [8163, 0.906], [2026, 0.8802], [5104, 0.8802], [6103, 0.8544], [6398, 0.8544], [4090, 0.826], [5776, 0.826], [9403, 0.826]]"
36,['Red Mohawk'],female,female 'red mohawk',"[[114, 1.0], [277, 1.0], [1681, 1.0], [1454, 0.9342], [2008, 0.9342], [2517, 0.9342], [8347, 0.9342], [832, 0.8831], [7095, 0.8831], [9545, 0.8831]]","[[114, 1.0], [277, 1.0], [1681, 1.0], [1454, 0.9342], [2008, 0.9342], [2517, 0.9342], [8347, 0.9342], [832, 0.8831], [7095, 0.8831], [9545, 0.8831]]"
37,"['Cap', 'Clown Eyes Blue']",female,female 'cap' 'clown eyes blue',"[[6640, 0.9472], [5442, 0.9387], [7633, 0.9387], [9601, 0.9387], [4410, 0.8997], [5054, 0.8997], [7676, 0.8997], [3693, 0.8876], [1369, 0.8621], [3899, 0.8621]]","[[6640, 0.9472], [5442, 0.9387], [7633, 0.9387], [9601, 0.9387], [4410, 0.8997], [5054, 0.8997], [7676, 0.8997], [3693, 0.8876], [1369, 0.8621], [3899, 0.8621]]"
38,"['Frumpy Hair', 'Classic Shades', 'Purple Lipstick']",female,female 'frumpy hair' 'classic shades' 'purple lipstick',"[[7586, 0.9243], [2177, 0.8557], [6824, 0.8316], [2969, 0.8202], [34, 0.8066], [368, 0.8066], [2149, 0.8066], [4186, 0.8005], [4645, 0.8005], [5747, 0.8005]]","[[7586, 0.9243], [2177, 0.8557], [6824, 0.8316], [2969, 0.8202], [34, 0.8066], [368, 0.8066], [2149, 0.8066], [4186, 0.8005], [4645, 0.8005], [5747, 0.8005]]"
39,"['Frown', 'Shaved Head', 'Regular Shades']",male,male 'frown' 'shaved head' 'regular shades',"[[3929, 1.0], [5465, 0.8945], [166, 0.8613], [6019, 0.8613], [9238, 0.8613], [295, 0.8546], [1171, 0.8546], [7130, 0.8546], [2983, 0.8237], [3897, 0.8237]]","[[3929, 1.0], [5465, 0.8945], [166, 0.8613], [6019, 0.8613], [9238, 0.8613], [295, 0.8546], [1171, 0.8546], [7130, 0.8546], [2983, 0.8237], [3897, 0.8237]]"
40,"['Bandana', 'Chinstrap', 'Smile']",male,male 'bandana' 'chinstrap' 'smile',"[[9992, 1.0], [2471, 0.814], [1942, 0.7983], [4023, 0.7983], [8652, 0.7983], [9277, 0.7983], [7510, 0.7875], [7207, 0.7455], [8143, 0.7455], [9767, 0.7105]]","[[9992, 1.0], [2471, 0.814], [1942, 0.7983], [4023, 0.7983], [8652, 0.7983], [9277, 0.7983], [7510, 0.7875], [7207, 0.7455], [8143, 0.7455], [9767, 0.7105]]"
41,"['Muttonchops', 'Wild Hair', 'Clown Eyes Green']",male,male 'muttonchops' 'wild hair' 'clown eyes green',"[[194, 0.8556], [1698, 0.8556], [3295, 0.8556], [7132, 0.8141], [7529, 0.8123], [618, 0.8091], [3413, 0.8091], [6777, 0.8091], [6831, 0.8091], [2225, 0.7583]]","[[194, 0.8556], [1698, 0.8556], [3295, 0.8556], [7132, 0.8141], [7529, 0.8123], [618, 0.8091], [3413, 0.8091], [6777, 0.8091], [6831, 0.8091], [2225, 0.7583]]"
42,"['Wild Hair', 'Cigarette']",female,female 'wild hair' 'cigarette',"[[1313, 1.0], [1944, 1.0], [5677, 0.9213], [5309, 0.9039], [5470, 0.9039], [2, 0.8095], [200, 0.8095], [566, 0.8095], [3412, 0.8095], [4277, 0.7982]]","[[1313, 1.0], [1944, 1.0], [5677, 0.9213], [5309, 0.9039], [5470, 0.9039], [2, 0.8095], [200, 0.8095], [566, 0.8095], [3412, 0.8095], [4277, 0.7982]]"
43,['Half Shaved'],female,female 'half shaved',"[[298, 1.0], [115, 0.9447], [2176, 0.9447], [2370, 0.9005], [7306, 0.9005], [2047, 0.8796], [831, 0.8555], [1206, 0.8555], [4118, 0.8555], [5638, 0.8555]]","[[298, 1.0], [115, 0.9447], [2176, 0.9447], [2370, 0.9005], [7306, 0.9005], [2047, 0.8796], [831, 0.8555], [1206, 0.8555], [4118, 0.8555], [5638, 0.8555]]"
44,['Messy Hair'],male,male 'messy hair',"[[137, 1.0], [752, 1.0], [1519, 1.0], [694, 0.8948], [854, 0.8948], [3517, 0.8948], [5630, 0.8948], [390, 0.8733], [405, 0.8733], [427, 0.8733]]","[[137, 1.0], [752, 1.0], [1519, 1.0], [694, 0.8948], [854, 0.8948], [3517, 0.8948], [5630, 0.8948], [390, 0.8733], [405, 0.8733], [427, 0.8733]]"
45,"['Earring', 'Mole']",male,male 'earring' 'mole',"[[2861, 0.8591], [6244, 0.8591], [1834, 0.8347], [4241, 0.8347], [5996, 0.8347], [8339, 0.7585], [7309, 0.7475], [7355, 0.7451], [9088, 0.7451], [8351, 0.7427]]","[[2861, 0.8591], [6244, 0.8591], [1834, 0.8347], [4241, 0.8347], [5996, 0.8347], [8339, 0.7585], [7309, 0.7475], [7355, 0.7451], [9088, 0.7451], [8351, 0.7427]]"
46,"['Purple Lipstick', 'Straight Hair Dark']",female,female 'purple lipstick' 'straight hair dark',"[[761, 1.0], [2706, 1.0], [3948, 1.0], [3476, 0.9098], [4343, 0.9098], [7877, 0.9098], [708, 0.8912], [712, 0.8912], [4941, 0.8912], [5266, 0.8912]]","[[761, 1.0], [2706, 1.0], [3948, 1.0], [3476, 0.9098], [4343, 0.9098], [7877, 0.9098], [708, 0.8912], [712, 0.8912], [4941, 0.8912], [5266, 0.8912]]"
47,['Knitted Cap'],male,male 'knitted cap',"[[452, 1.0], [513, 1.0], [849, 1.0], [508, 0.9139], [531, 0.9139], [2939, 0.9139], [4471, 0.9139], [268, 0.8989], [1151, 0.8989], [2487, 0.8989]]","[[452, 1.0], [513, 1.0], [849, 1.0], [508, 0.9139], [531, 0.9139], [2939, 0.9139], [4471, 0.9139], [268, 0.8989], [1151, 0.8989], [2487, 0.8989]]"
48,"['Big Shades', 'Mohawk']",male,male 'big shades' 'mohawk',"[[4331, 1.0], [7552, 1.0], [7283, 0.9191], [9343, 0.9191], [9931, 0.9191], [2053, 0.9057], [3513, 0.9057], [3658, 0.9057], [673, 0.8603], [3835, 0.8603]]","[[4331, 1.0], [7552, 1.0], [7283, 0.9191], [9343, 0.9191], [9931, 0.9191], [2053, 0.9057], [3513, 0.9057], [3658, 0.9057], [673, 0.8603], [3835, 0.8603]]"
49,"['Bandana', 'Purple Eye Shadow']",female,female 'bandana' 'purple eye shadow',"[[2207, 1.0], [4327, 1.0], [7493, 0.88], [6896, 0.8797], [8249, 0.85], [8271, 0.8441], [302, 0.8353], [7429, 0.8353], [7786, 0.8353], [1186, 0.8154]]","[[2207, 1.0], [4327, 1.0], [7493, 0.88], [6896, 0.8797], [8249, 0.85], [8271, 0.8441], [302, 0.8353], [7429, 0.8353], [7786, 0.8353], [1186, 0.8154]]"
50,"['Spots', 'Fedora']",male,male 'spots' 'fedora',"[[7206, 1.0], [798, 0.7466], [178, 0.6949], [254, 0.6949], [913, 0.6949], [1708, 0.6949], [5525, 0.6758], [577, 0.653], [2444, 0.6309], [2827, 0.6309]]","[[7206, 1.0], [798, 0.7466], [178, 0.6949], [254, 0.6949], [913, 0.6949], [1708, 0.6949], [5525, 0.6758], [577, 0.653], [2444, 0.6309], [2827, 0.6309]]"
51,"['Muttonchops', 'Wild Hair', 'Earring']",male,male 'muttonchops' 'wild hair' 'earring',"[[817, 0.9346], [1882, 0.9346], [2722, 0.9346], [1932, 0.83], [1136, 0.8025], [7744, 0.7865], [9821, 0.7865], [8667, 0.753], [5089, 0.7472], [1343, 0.7466]]","[[817, 0.9346], [1882, 0.9346], [2722, 0.9346], [1932, 0.83], [1136, 0.8025], [7744, 0.7865], [9821, 0.7865], [8667, 0.753], [5089, 0.7472], [1343, 0.7466]]"
52,"['Shadow Beard', 'Earring', 'Nerd Glasses', 'Knitted Cap']",male,male 'shadow beard' 'earring' 'nerd glasses' 'knitted cap',"[[6595, 0.9605], [2847, 0.888], [5954, 0.888], [234, 0.8433], [484, 0.8433], [1774, 0.8433], [9222, 0.8433], [9993, 0.8301], [1497, 0.8256], [5095, 0.8256]]","[[6595, 0.9605], [2847, 0.888], [5954, 0.888], [234, 0.8433], [484, 0.8433], [1774, 0.8433], [9222, 0.8433], [9993, 0.8301], [1497, 0.8256], [5095, 0.8256]]"
53,"['Big Shades', 'Straight Hair']",female,female 'big shades' 'straight hair',"[[3430, 1.0], [5158, 1.0], [1477, 0.9422], [9067, 0.8964], [240, 0.8675], [4276, 0.8675], [7652, 0.8675], [2654, 0.8549], [6598, 0.8439], [3464, 0.8319]]","[[3430, 1.0], [5158, 1.0], [1477, 0.9422], [9067, 0.8964], [240, 0.8675], [4276, 0.8675], [7652, 0.8675], [2654, 0.8549], [6598, 0.8439], [3464, 0.8319]]"
54,['Hoodie'],male,male 'hoodie',"[[148, 1.0], [627, 1.0], [87, 0.8974], [99, 0.8255], [512, 0.8255], [6670, 0.8255], [4926, 0.794], [5599, 0.794], [5768, 0.794], [1674, 0.7763]]","[[148, 1.0], [627, 1.0], [87, 0.8974], [99, 0.8255], [512, 0.8255], [6670, 0.8255], [4926, 0.794], [5599, 0.794], [5768, 0.794], [1674, 0.7763]]"
55,['Eye Patch'],male,male 'eye patch',"[[2300, 1.0], [2995, 1.0], [5225, 0.9078], [1146, 0.8716], [3150, 0.8716], [5200, 0.8716], [5394, 0.8716], [779, 0.8592], [3138, 0.8592], [7533, 0.8592]]","[[2300, 1.0], [2995, 1.0], [5225, 0.9078], [1146, 0.8716], [3150, 0.8716], [5200, 0.8716], [5394, 0.8716], [779, 0.8592], [3138, 0.8592], [7533, 0.8592]]"
56,['Shaved Head'],male,male 'shaved head',"[[288, 1.0], [392, 1.0], [448, 1.0], [809, 0.9339], [1045, 0.9339], [1551, 0.9339], [1699, 0.9339], [1950, 0.8827], [2921, 0.8827], [6643, 0.8827]]","[[288, 1.0], [392, 1.0], [448, 1.0], [809, 0.9339], [1045, 0.9339], [1551, 0.9339], [1699, 0.9339], [1950, 0.8827], [2921, 0.8827], [6643, 0.8827]]"
57,['Headband'],male,male 'headband',"[[82, 1.0], [107, 1.0], [190, 1.0], [373, 0.8805], [1215, 0.8805], [1440, 0.8805], [3327, 0.8805], [529, 0.8534], [614, 0.8534], [916, 0.8534]]","[[82, 1.0], [107, 1.0], [190, 1.0], [373, 0.8805], [1215, 0.8805], [1440, 0.8805], [3327, 0.8805], [529, 0.8534], [614, 0.8534], [916, 0.8534]]"
